FREQ_code,REF_AREA_code,IND_TYPE_code,LIVELLO_code,VALUE,date
A,ATO13,DEP_ESER,1,21,2005
A,ATO13,DEP_ESER,1,27,2008
A,ATO13,DEP_ESER,1,44,2012
A,ATO13,DEP_ESER,2,8,1999
A,ATO13,DEP_ESER,2,8,2005
A,ATO13,DEP_ESER,2,17,2008
A,ATO13,DEP_ESER,2,20,2012
A,ATO13,DEP_ESER,3,15,1999
A,ATO13,DEP_ESER,3,15,2005
A,ATO13,DEP_ESER,3,19,2008
A,ATO13,DEP_ESER,3,6,2012
A,ATO13,DEP_ESER,9,44,1999
A,ATO13,DEP_ESER,9,44,2005
A,ATO13,DEP_ESER,9,63,2008
A,ATO13,DEP_ESER,9,70,2012
A,ATO14,AES_EFF,1,1126,1999
A,ATO14,AES_EFF,1,1206,2005
A,ATO14,AES_EFF,1,3313,2008
A,ATO14,AES_EFF,1,3313,2012
A,ATO14,AES_EFF,2,59418,1999
A,ATO14,AES_EFF,2,56073,2005
A,ATO14,AES_EFF,2,64652,2008
A,ATO14,AES_EFF,2,64654,2012
A,ATO14,AES_EFF,3,137926,1999
A,ATO14,AES_EFF,3,139889,2005
A,ATO14,AES_EFF,3,147649,2008
A,ATO14,AES_EFF,3,147649,2012
A,ATO14,AES_EFF,9,198469,1999
A,ATO14,AES_EFF,9,197168,2005
A,ATO14,AES_EFF,9,215613,2008
A,ATO14,AES_EFF,9,215616,2012
A,ATO14,DEP_ESER,1,6,1999
A,ATO14,DEP_ESER,1,6,2005
A,ATO14,DEP_ESER,1,7,2008
A,ATO14,DEP_ESER,1,9,2012
A,ATO14,DEP_ESER,2,51,1999
A,ATO14,DEP_ESER,2,51,2005
A,ATO14,DEP_ESER,2,58,2008
A,ATO14,DEP_ESER,2,59,2012
A,ATO14,DEP_ESER,3,9,1999
A,ATO14,DEP_ESER,3,10,2005
A,ATO14,DEP_ESER,3,13,2008
A,ATO14,DEP_ESER,3,14,2012
A,ATO14,DEP_ESER,9,66,1999
A,ATO14,DEP_ESER,9,67,2005
A,ATO14,DEP_ESER,9,78,2008
A,ATO14,DEP_ESER,9,82,2012
A,ATO15,AES_EFF,1,5068,1999
A,ATO15,AES_EFF,1,18568,2005
A,ATO15,AES_EFF,1,14997,2008
A,ATO15,AES_EFF,1,35061,2012
A,ATO15,AES_EFF,2,104961,1999
A,ATO15,AES_EFF,2,110849,2005
A,ATO15,AES_EFF,2,122832,2008
A,ATO15,AES_EFF,2,122967,2012
A,ATO15,AES_EFF,3,197817,1999
A,ATO15,AES_EFF,3,213774,2005
A,ATO15,AES_EFF,3,242830,2008
A,ATO15,AES_EFF,3,180414,2012
A,ATO15,AES_EFF,9,307846,1999
A,ATO15,AES_EFF,9,343191,2005
A,ATO15,AES_EFF,9,380659,2008
A,ATO15,AES_EFF,9,338442,2012
A,ATO15,DEP_ESER,1,5,1999
A,ATO15,DEP_ESER,1,7,2005
A,ATO15,DEP_ESER,1,6,2008
A,ATO15,DEP_ESER,1,10,2012
A,ATO15,DEP_ESER,2,81,1999
A,ATO15,DEP_ESER,2,83,2005
A,ATO15,DEP_ESER,2,88,2008
A,ATO15,DEP_ESER,2,103,2012
A,ATO15,DEP_ESER,3,29,1999
A,ATO15,DEP_ESER,3,30,2005
A,ATO15,DEP_ESER,3,34,2008
A,ATO15,DEP_ESER,3,25,2012
A,ATO15,DEP_ESER,9,115,1999
A,ATO15,DEP_ESER,9,120,2005
A,ATO15,DEP_ESER,9,128,2008
A,ATO15,DEP_ESER,9,138,2012
A,ATO16,AES_EFF,1,20000,1999
A,ATO16,AES_EFF,1,20000,2005
A,ATO16,AES_EFF,1,280,2008
A,ATO16,AES_EFF,1,130926,2012
A,ATO16,AES_EFF,2,229417,1999
A,ATO16,AES_EFF,2,229997,2005
A,ATO16,AES_EFF,2,229588,2008
A,ATO16,AES_EFF,2,112078,2012
A,ATO16,AES_EFF,3,2056205,1999
A,ATO16,AES_EFF,3,2122802,2005
A,ATO16,AES_EFF,3,2376650,2008
A,ATO16,AES_EFF,3,2311650,2012
A,ATO16,AES_EFF,9,2305622,1999
A,ATO16,AES_EFF,9,2372799,2005
A,ATO16,AES_EFF,9,2606518,2008
A,ATO16,AES_EFF,9,2554654,2012
A,ATO16,DEP_ESER,1,1,1999
A,ATO16,DEP_ESER,1,1,2005
A,ATO16,DEP_ESER,1,1,2008
A,ATO16,DEP_ESER,1,4,2012
A,ATO16,DEP_ESER,2,23,1999
A,ATO16,DEP_ESER,2,24,2005
A,ATO16,DEP_ESER,2,24,2008
A,ATO16,DEP_ESER,2,20,2012
A,ATO16,DEP_ESER,3,28,1999
A,ATO16,DEP_ESER,3,30,2005
A,ATO16,DEP_ESER,3,32,2008
A,ATO16,DEP_ESER,3,36,2012
A,ATO16,DEP_ESER,9,52,1999
A,ATO16,DEP_ESER,9,55,2005
A,ATO16,DEP_ESER,9,57,2008
A,ATO16,DEP_ESER,9,60,2012
A,ATO17,AES_EFF,1,28094,1999
A,ATO17,AES_EFF,1,31350,2005
A,ATO17,AES_EFF,1,35507,2008
A,ATO17,AES_EFF,1,35674,2012
A,ATO17,AES_EFF,2,78188,1999
A,ATO17,AES_EFF,2,79064,2005
A,ATO17,AES_EFF,2,123073,2008
A,ATO17,AES_EFF,2,260908,2012
A,ATO17,AES_EFF,3,334300,1999
A,ATO17,AES_EFF,3,353450,2005
A,ATO17,AES_EFF,3,481605,2008
A,ATO17,AES_EFF,3,370623,2012
A,ATO17,AES_EFF,9,440583,1999
A,ATO17,AES_EFF,9,463864,2005
A,ATO17,AES_EFF,9,640185,2008
A,ATO17,AES_EFF,9,667205,2012
A,ATO17,DEP_ESER,1,232,1999
A,ATO17,DEP_ESER,1,237,2005
A,ATO17,DEP_ESER,1,304,2008
A,ATO17,DEP_ESER,1,365,2012
A,ATO17,DEP_ESER,2,61,1999
A,ATO17,DEP_ESER,2,62,2005
A,ATO17,DEP_ESER,2,86,2008
A,ATO17,DEP_ESER,2,92,2012
A,ATO17,DEP_ESER,3,32,1999
A,ATO17,DEP_ESER,3,32,2005
A,ATO17,DEP_ESER,3,41,2008
A,ATO17,DEP_ESER,3,37,2012
A,ATO17,DEP_ESER,9,325,1999
A,ATO17,DEP_ESER,9,331,2005
A,ATO17,DEP_ESER,9,431,2008
A,ATO17,DEP_ESER,9,494,2012
A,ATO18,AES_EFF,1,21126,1999
A,ATO18,AES_EFF,1,21918,2005
A,ATO18,AES_EFF,1,18556,2008
A,ATO18,AES_EFF,1,27731,2012
A,ATO18,AES_EFF,2,29092,1999
A,ATO18,AES_EFF,2,39760,2005
A,ATO18,AES_EFF,2,42022,2008
A,ATO18,AES_EFF,2,94388,2012
A,ATO18,AES_EFF,3,167632,1999
A,ATO18,AES_EFF,3,168132,2005
A,ATO18,AES_EFF,3,248126,2008
A,ATO18,AES_EFF,3,240643,2012
A,ATO18,AES_EFF,9,217850,1999
A,ATO18,AES_EFF,9,229810,2005
A,ATO18,AES_EFF,9,308704,2008
A,ATO18,AES_EFF,9,362762,2012
A,ATO18,DEP_ESER,1,37,1999
A,ATO18,DEP_ESER,1,42,2005
A,ATO18,DEP_ESER,1,39,2008
A,ATO18,DEP_ESER,1,53,2012
A,ATO18,DEP_ESER,2,9,1999
A,ATO18,DEP_ESER,2,11,2005
A,ATO18,DEP_ESER,2,14,2008
A,ATO18,DEP_ESER,2,16,2012
A,ATO18,DEP_ESER,3,13,1999
A,ATO18,DEP_ESER,3,13,2005
A,ATO18,DEP_ESER,3,19,2008
A,ATO18,DEP_ESER,3,16,2012
A,ATO18,DEP_ESER,9,59,1999
A,ATO18,DEP_ESER,9,66,2005
A,ATO18,DEP_ESER,9,72,2008
A,ATO18,DEP_ESER,9,84,2012
A,ATO19,AES_EFF,1,9410,1999
A,ATO19,AES_EFF,1,9357,2005
A,ATO19,AES_EFF,1,8025,2008
A,ATO19,AES_EFF,1,9211,2012
A,ATO19,AES_EFF,2,122402,1999
A,ATO19,AES_EFF,2,123252,2005
A,ATO19,AES_EFF,2,133177,2008
A,ATO19,AES_EFF,2,119383,2012
A,ATO19,AES_EFF,3,843882,1999
A,ATO19,AES_EFF,3,874418,2005
A,ATO19,AES_EFF,3,1025062,2008
A,ATO19,AES_EFF,3,740776,2012
A,ATO19,AES_EFF,9,975694,1999
A,ATO19,AES_EFF,9,1007027,2005
A,ATO19,AES_EFF,9,1166264,2008
A,ATO19,AES_EFF,9,869370,2012
A,ATO19,DEP_ESER,1,19,1999
A,ATO19,DEP_ESER,1,19,2005
A,ATO19,DEP_ESER,1,19,2008
A,ATO19,DEP_ESER,1,37,2012
A,ATO19,DEP_ESER,2,22,1999
A,ATO19,DEP_ESER,2,22,2005
A,ATO19,DEP_ESER,2,26,2008
A,ATO19,DEP_ESER,2,25,2012
A,ATO19,DEP_ESER,3,33,1999
A,ATO19,DEP_ESER,3,33,2005
A,ATO19,DEP_ESER,3,36,2008
A,ATO19,DEP_ESER,3,34,2012
A,ATO19,DEP_ESER,9,74,1999
A,ATO19,DEP_ESER,9,74,2005
A,ATO19,DEP_ESER,9,81,2008
A,ATO19,DEP_ESER,9,96,2012
A,ATO2,AES_EFF,1,38919,1999
A,ATO2,AES_EFF,1,60427,2005
A,ATO2,AES_EFF,1,60488,2008
A,ATO2,AES_EFF,1,61786,2012
A,ATO2,AES_EFF,2,272144,1999
A,ATO2,AES_EFF,2,292566,2005
A,ATO2,AES_EFF,2,313374,2008
A,ATO2,AES_EFF,2,392161,2012
A,ATO2,AES_EFF,3,380569,1999
A,ATO2,AES_EFF,3,381545,2005
A,ATO2,AES_EFF,3,381945,2008
A,ATO2,AES_EFF,3,187585,2012
A,ATO2,AES_EFF,9,691631,1999
A,ATO2,AES_EFF,9,734537,2005
A,ATO2,AES_EFF,9,755807,2008
A,ATO2,AES_EFF,9,641532,2012
A,ATO2,DEP_ESER,1,302,1999
A,ATO2,DEP_ESER,1,483,2005
